0, 3, 9, 2, 3, -1, -1, -1, -1, -1, -1, -1
-1, 0, -1, -1, -1, 6, 8, 1, -1, -1, -1, -1
-1, -1, 0, -1, -1, 7, 5, -1, -1, -1, -1, -1
-1, -1, -1, 0, -1, -1, -1, 11, -1, -1, -1, -1
-1, -1, -1, -1, 0, -1, 12, 8, -1, -1, -1, -1
-1, -1, -1, -1, -1, 0, -1, -1, 5, 7, -1, -1
-1, -1, -1, -1, -1, -1, 0, -1, 6, 8, -1, -1
-1, -1, -1, -1, -1, -1, -1, 0, -1, 5, 6, -1
-1, -1, -1, -1, -1, -1, -1, -1, 0, -1, -1, 3
-1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1, 5
-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0, -1
-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 0
